_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
31412,48,30033029,ALVIN CURLING PUBLIC SCHOOL,,EP,Toronto District School Board,50 UPPER ROUGE TRL,English Public,30033029,50,Upper Rouge Trl,50 Upper Rouge Trl,M1B 6K4,Scarborough,Toronto,Meadowvale Sheppard Public School,102002,20057597,50,,,,18115,,,,,"{u'type': u'Point', u'coordinates': (-79.1902392505, 43.8084816563)}"
31413,49,9187246,AMAIRAH PRIVATE SCHOOL,,PR,,1625 ALBION RD,Private,9187246,1625,Albion Rd,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,,115001,9187244,1625,,,,1012,,,,,"{u'type': u'Point', u'coordinates': (-79.5945953168, 43.7417121222)}"
31414,50,20037304,AMANAH ISLAMIC ACADEMY,,PR,,1160 BIRCHMOUNT RD,Private,20037304,1160,Birchmount Rd,1160 Birchmount Rd,M1P 2B8,Scarborough,Toronto,,113001,110728,1160,,,,7365,,,,,"{u'type': u'Point', u'coordinates': (-79.283828754, 43.7411259867)}"
31415,51,5145165,AMBERSON COLLEGE HIGH SCHOOL,,PR,,3470 PHARMACY AVE,Private,5145165,3470,Pharmacy Ave,3470 Pharmacy Ave,M1W 2S7,Scarborough,Toronto,,113001,5145162,3470,,,,8691,,,,,"{u'type': u'Point', u'coordinates': (-79.3340562371, 43.8089116211)}"
31416,52,10035747,AMESBURY MIDDLE SCHOOL,,EP,Toronto District School Board,201 GRACEFIELD AVE,English Public,10035747,201,Gracefield Ave,201 Gracefield Ave,M6L 1L7,North York,Toronto,Amesbury Middle School,102001,10035736,201,,,,5729,,,,,"{u'type': u'Point', u'coordinates': (-79.4932822328, 43.7084286283)}"
31417,53,482522,ANCASTER PUBLIC SCHOOL,,EP,Toronto District School Board,44 ANCASTER RD,English Public,482522,44,Ancaster Rd,44 Ancaster Rd,M3K 1S6,North York,Toronto,Ancaster Public School,102001,30093012,44,,,,4795,,,,,"{u'type': u'Point', u'coordinates': (-79.4669926272, 43.7328661717)}"
31418,54,7992305,ANNETTE STREET JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,265 ANNETTE ST,English Public,7992305,265,Annette St,265 Annette St,M6P 1R3,former Toronto,Toronto,Annette Street Public School,102001,7987734,265,,,,2890,,,,,"{u'type': u'Point', u'coordinates': (-79.4728312798, 43.6614231859)}"
31419,55,485399,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,65 AVONWICK GT,English Separate,485399,65,Avonwick Gt,65 Avonwick Gt,M3A 2M8,North York,Toronto,Annunciation Catholic School,102003,440701,65,,,,4855,,,,,"{u'type': u'Point', u'coordinates': (-79.3210503279, 43.7531144811)}"
31420,56,358063,ANSON PARK PUBLIC SCHOOL,,EP,Toronto District School Board,30 MACDUFF CRES,English Public,358063,30,Macduff Cres,30 Macduff Cres,M1M 1X5,Scarborough,Toronto,Anson Park Public School,102001,111602,30,,,,8385,,,,,"{u'type': u'Point', u'coordinates': (-79.2411154202, 43.7261289166)}"
31421,57,374465,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,20 PLACENTIA BLVD,English Public,374465,20,Placentia Blvd,20 Placentia Blvd,M1S 4C5,Scarborough,Toronto,Anson S Taylor Junior Public School,102001,104662,20,,,,8711,,,,,"{u'type': u'Point', u'coordinates': (-79.2615613356, 43.8042919764)}"
31422,58,7131439,APOLLO HIGH SCHOOL,,PR,,5467 YONGE ST,Private,7131439,5467,Yonge St,5467 Yonge St,M2N 5S1,North York,Toronto,,107010,7131429,5467,,,,4733,,,,,"{u'type': u'Point', u'coordinates': (-79.4147111813, 43.7778165673)}"
31423,59,571348,APPLE ACADEMIC ACHIEVMENT CANADA,,PR,,488 VAN HORNE AVE,Private,571348,488,Van Horne Ave,488 Van Horne Ave,M2J 2V2,North York,Toronto,,100001,437213,488,,,,6984,,,,,"{u'type': u'Point', u'coordinates': (-79.3398945338, 43.7871960727)}"
31424,60,3107754,ARBOR GLEN PUBLIC SCHOOL,,EP,Toronto District School Board,55 FRESHMEADOW DR,English Public,3107754,55,Freshmeadow Dr,55 Freshmeadow Dr,M2H 3H6,North York,Toronto,Arbor Glen Public School,102001,3107766,55,,,,5647,,,,,"{u'type': u'Point', u'coordinates': (-79.3557094448, 43.8094863867)}"
31425,61,35493,ARISTOTELE'S CREDIT SCHOOL,,PR,,30 THORNCLIFFE PARK DR,Private,35493,30,Thorncliffe Park Dr,30 Thorncliffe Park Dr,M4H 1H8,East York,Toronto,St Demetrious Church,109001,30098783,30,,,,354,,,,,"{u'type': u'Point', u'coordinates': (-79.3449506416, 43.7029584141)}"
31426,62,561783,ARKANA EDUCATION - PRIVATE HIGH SCHOOL,,PR,,209 SHEPPARD AVE E,Private,561783,209,Sheppard Ave E,209 Sheppard Ave E,M2N 3A8,North York,Toronto,,107005,30058814,209,,,,6698,,,,,"{u'type': u'Point', u'coordinates': (-79.3984878979, 43.7639158093)}"
31427,63,576041,ARMOUR HEIGHTS PUBLIC SCHOOL,,EP,Toronto District School Board,148 WILSON AVE,English Public,576041,148,Wilson Ave,148 Wilson Ave,M5M 3A5,North York,Toronto,Armour Heights Public School,102001,20055791,148,,,,4693,,,,,"{u'type': u'Point', u'coordinates': (-79.4195222788, 43.7409100432)}"
31428,64,871450,ARROWSMITH SCHOOL - BLDG 1,,PR,,245 ST CLAIR AVE W,Private,871450,245,St Clair Ave W,245 St Clair Ave W,M4V 1R3,former Toronto,Toronto,,112001,1139588,245,,,,890,,,,,"{u'type': u'Point', u'coordinates': (-79.4057974162, 43.6854893205)}"
31429,65,871449,ARROWSMITH SCHOOL - BLDG 2,,PR,,243 ST CLAIR AVE W,Private,871449,243,St Clair Ave W,243 St Clair Ave W,M4V 1R3,former Toronto,Toronto,Russian Orthodox Church,109001,1139588,243,,,,890,,,,,"{u'type': u'Point', u'coordinates': (-79.4056854013, 43.6855028021)}"
