_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
31668,304,6624483,EARL BEATTY JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,55 WOODINGTON AVE,English Public,6624483,55,Woodington Ave,55 Woodington Ave,M4C 3J6,former Toronto,Toronto,Earl Beatty Public School,102001,6624492,55,,,,395,,,,,"{u'type': u'Point', u'coordinates': (-79.3213456307, 43.6860684584)}"
31669,305,6355066,EARL GREY SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,100 STRATHCONA AVE,English Public,6355066,100,Strathcona Ave,100 Strathcona Ave,M4J 1G8,former Toronto,Toronto,Earl Grey Senior Public School,102001,14022315,100,,,,4496,,,,,"{u'type': u'Point', u'coordinates': (-79.3405244209, 43.676843882)}"
31670,306,799259,EARL HAIG PUBLIC SCHOOL,,EP,Toronto District School Board,15 EARL HAIG AVE,English Public,799259,15,Earl Haig Ave,15 Earl Haig Ave,M4C 1E2,former Toronto,Toronto,Earl Haig Junior Public School,102001,1140005,15,,,,3349,,,,,"{u'type': u'Point', u'coordinates': (-79.3212504675, 43.6813314531)}"
31671,307,3310442,EARL HAIG SECONDARY SCHOOL,,EP,Toronto District School Board,100 PRINCESS AVE,English Public,3310442,100,Princess Ave,100 Princess Ave,M2N 3R7,North York,Toronto,Earl Haig Secondary School,102002,3310436,100,,,,6470,,,,,"{u'type': u'Point', u'coordinates': (-79.4059659484, 43.7696090328)}"
31672,308,572032,EARLY YEARS EDUCATION SYSTEM,,PR,,3000 VICTORIA PARK AVE,Private,572032,3000,Victoria Park Ave,3000 Victoria Park Ave,M2J 4Y2,North York,Toronto,,100002,106049,3000,,,,370,,,,,"{u'type': u'Point', u'coordinates': (-79.3320477548, 43.79231817)}"
31673,309,774626,EAST ALTERNATIVE SCHOOL OF TORONTO,,EP,Toronto District School Board,21 BOULTBEE AVE,English Public,774626,21,Boultbee Ave,21 Boultbee Ave,M4J 1A7,former Toronto,Toronto,Blake Street Public School,102001,1141613,21,,,,3038,,,,,"{u'type': u'Point', u'coordinates': (-79.3384762501, 43.671806369)}"
31674,310,7846533,EAST YORK ALTERNATIVE SECONDARY SCHOOL,,EP,Toronto District School Board,670 COSBURN AVE,English Public,7846533,670,Cosburn Ave,670 Cosburn Ave,M4C 2V2,East York,Toronto,Alternative High School Programme,102002,7846484,670,,,,70,,,,,"{u'type': u'Point', u'coordinates': (-79.3252956395, 43.6949913553)}"
31675,311,7794431,EAST YORK COLLEGIATE INSTITUTE,,EP,Toronto District School Board,650 COSBURN AVE,English Public,7794431,650,Cosburn Ave,650 Cosburn Ave,M4C 2V2,East York,Toronto,East York Collegiate Institute,102002,7794416,650,,,,70,,,,,"{u'type': u'Point', u'coordinates': (-79.3275764481, 43.6949906149)}"
31676,312,808480,EASTDALE COLLEGIATE INSTITUTE,,EP,Toronto District School Board,701 GERRARD ST E,English Public,808480,701,Gerrard St E,701 Gerrard St E,M4M 1Y4,former Toronto,Toronto,Eastdale Collegiate Institute,102002,1142671,701,,,,3495,,,,,"{u'type': u'Point', u'coordinates': (-79.3488189225, 43.6659265702)}"
31677,313,395203,EASTVIEW JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,20 WALDOCK ST,English Public,395203,20,Waldock St,20 Waldock St,M1E 2E5,Scarborough,Toronto,Eastview Junior Public School,102001,109224,20,,,,9177,,,,,"{u'type': u'Point', u'coordinates': (-79.1912804405, 43.7589633617)}"
31678,314,1028895,EATONVILLE JUNIOR SCHOOL,,EP,Toronto District School Board,15 ROSSBURN DR,English Public,1028895,15,Rossburn Dr,15 Rossburn Dr,M9C 2P7,Etobicoke,Toronto,Eatonville Junior School,102001,912398,15,,,,2406,,,,,"{u'type': u'Point', u'coordinates': (-79.5666150697, 43.6378407815)}"
31679,315,8321585,ECOLE ELEMENTAIRE CHARLES SAURIOL,,FP,Conseil scolaire Viamonde,55 PELHAM AVE,French Public,8321585,55,Pelham Ave,55 Pelham Ave,M6N 1A5,former Toronto,Toronto,St. Josaphat Catholic School,102004,14013188,55,,,,4173,,,,,"{u'type': u'Point', u'coordinates': (-79.4553496276, 43.6676736698)}"
31680,316,992445,ECOLE ELEMENTAIRE FELIX LECLERC,,FP,Conseil scolaire Viamonde,50 CELESTINE DR,French Public,992445,50,Celestine Dr,50 Celestine Dr,M9R 3N3,Etobicoke,Toronto,Ecole Elementaire Felix Leclerc,102001,908942,50,,,,1320,,,,,"{u'type': u'Point', u'coordinates': (-79.5614456342, 43.689693123)}"
31681,317,853146,ECOLE ELEMENTAIRE GABRIELLE ROY,,FP,Conseil scolaire Viamonde,14 PEMBROKE ST,French Public,853146,14,Pembroke St,14 Pembroke St,M5A 2N7,former Toronto,Toronto,Ecole Elementaire Gabrielle Roy,102001,1144426,14,,,,4176,,,,,"{u'type': u'Point', u'coordinates': (-79.3723195931, 43.6565828383)}"
31682,318,496710,ECOLE ELEMENTAIRE JEANNE LAJOIE,,FP,Conseil scolaire Viamonde,150 CARNFORTH RD,French Public,496710,150,Carnforth Rd,150 Carnforth Rd,M4A 2K7,North York,Toronto,Ecole Elementaire Jeanne Lajoie,102001,442923,150,,,,5126,,,,,"{u'type': u'Point', u'coordinates': (-79.3214945674, 43.7344967726)}"
31683,319,32143,ECOLE ELEMENTAIRE LA MOSAIQUE,,FP,Conseil scolaire Viamonde,80 QUEENSDALE AVE,French Public,32143,80,Queensdale Ave,80 Queensdale Ave,M4J 1Y3,East York,Toronto,Ecole elementaire La Mosaique,102005,1795,80,,,,295,,,,,"{u'type': u'Point', u'coordinates': (-79.3305349885, 43.6873304546)}"
31684,320,30022744,ECOLE ELEMENTAIRE LAURE RIESE,,FP,Conseil scolaire Viamonde,339 ALTON TOWERS CRCL,French Public,30022744,339,Alton Towers Crcl,339 Alton Towers Crcl,M1V 4L3,Scarborough,Toronto,,115001,30021292,339,,,,9520,,,,,"{u'type': u'Point', u'coordinates': (-79.2774220664, 43.8224626056)}"
31685,321,502996,ECOLE ELEMENTAIRE MATHIEU DA COSTA,,FP,Conseil scolaire Viamonde,116 CORNELIUS PKWY,French Public,502996,116,Cornelius Pkwy,116 Cornelius Pkwy,M6L 2K5,North York,Toronto,Ecole Elementaire Mathieu Da Costa,102001,445125,116,,,,5271,,,,,"{u'type': u'Point', u'coordinates': (-79.4755347034, 43.7178279267)}"
31686,322,1001929,ECOLE ELEMENTAIRE MICHELINE-SAINT-CYR,,FP,Conseil scolaire Viamonde,85 41ST ST,French Public,1001929,85,Forty First St,85 Forty First St,M8W 3P1,Etobicoke,Toronto,Ecole Elementaire Micheline-Saint-Cyr,102001,914882,85,,,,1630,,,,,"{u'type': u'Point', u'coordinates': (-79.543780992, 43.5902188648)}"
31687,323,13315640,ECOLE ELEMENTAIRE PAUL DEMERS,,FP,Conseil scolaire Viamonde,100 RAVEL RD,French Public,13315640,100,Ravel Rd,100 Ravel Rd,M2H 1S9,North York,Toronto,Oxford Academy,102003,13315627,100,,,,6503,,,,,"{u'type': u'Point', u'coordinates': (-79.3673403857, 43.7919518365)}"
31688,324,7576034,ECOLE ELEMENTAIRE PIERRE ELLIOTT TRUDEAU,,FP,Conseil scolaire Viamonde,65 GRACE ST,French Public,7576034,65,Grace St,65 Grace St,M6J 2S4,former Toronto,Toronto,Ecole Elementaire Pierre Elliott Trudeau,102001,14019222,65,,,,9808,,,,,"{u'type': u'Point', u'coordinates': (-79.4140974855, 43.651991039)}"
31689,325,486093,ECOLE SECONDAIRE ETIENNE BRULE,,FP,Conseil scolaire Viamonde,300 BANBURY RD,French Public,486093,300,Banbury Rd,300 Banbury Rd,M2L 2V3,North York,Toronto,Ecole Secondaire Etienne Brule,102001,441006,300,,,,4876,,,,,"{u'type': u'Point', u'coordinates': (-79.3715932541, 43.7522122439)}"
31690,326,8791751,ECOLE SECONDAIRE TORONTO OUEST,,FP,Conseil scolaire Viamonde,330 LANSDOWNE AVE,French Public,8791751,330,Lansdowne Ave,330 Lansdowne Ave,M6H 3Y1,former Toronto,Toronto,Saint Frere Andre,102004,30102548,330,,,,3814,,,,,"{u'type': u'Point', u'coordinates': (-79.4412354247, 43.6523836303)}"
31691,327,308915,EDGEWOOD PUBLIC SCHOOL,,EP,Toronto District School Board,230 BIRKDALE RD,English Public,308915,230,Birkdale Rd,230 Birkdale Rd,M1P 3S4,Scarborough,Toronto,Edgewood Public School,102001,30029983,230,,,,7367,,,,,"{u'type': u'Point', u'coordinates': (-79.2658120339, 43.7663054576)}"
31692,328,800621,EGLINTON JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,223 EGLINTON AVE E,English Public,800621,223,Eglinton Ave E,223 Eglinton Ave E,M4P 1L1,former Toronto,Toronto,Eglinton Junior Public School,102001,1138255,223,,,,125,,,,,"{u'type': u'Point', u'coordinates': (-79.3908468303, 43.7079037465)}"
31693,329,14199314,EGLINTON LINC AND ESL CENTRE,,ES,Toronto Catholic District School Board,90 EGLINTON AVE E,English Separate,14199314,90,Eglinton Ave E,90 Eglinton Ave E,M4P 2Y3,former Toronto,Toronto,,115001,1138300,90,,,,125,,,,,"{u'type': u'Point', u'coordinates': (-79.3958997215, 43.7076209684)}"
31694,330,20141250,EITZ CHAIM HEBREW BOYS,,PR,,475 PATRICIA AVE,Private,20141250,475,Patricia Ave,475 Patricia Ave,M2R 2N1,North York,Toronto,Eitz Chaim Day School,102008,30115595,475,,,,6386,,,,,"{u'type': u'Point', u'coordinates': (-79.4444041192, 43.7838105185)}"
31695,331,10071229,ELIA MIDDLE SCHOOL,,EP,Toronto District School Board,215 SENTINEL RD,English Public,10071229,215,Sentinel Rd,215 Sentinel Rd,M3J 1T7,North York,Toronto,Elia Middle School,102001,10071213,215,,,,6678,,,,,"{u'type': u'Point', u'coordinates': (-79.4984583081, 43.7537993176)}"
31696,332,13503328,ELITE ACADEMIC SCHOOL,,PR,,201 CONSUMERS RD,Private,13503328,201,Consumers Rd,201 Consumers Rd,M2J 4G8,North York,Toronto,,104008,438551,201,,,,5264,,,,,"{u'type': u'Point', u'coordinates': (-79.3322488675, 43.7721013757)}"
31697,333,11484418,ELITE ACADEMY,,PR,,100 TEMPO AVE,Private,11484418,100,Tempo Ave,100 Tempo Ave,M2H 2N8,North York,Toronto,,115001,11484413,100,,,,6871,,,,,"{u'type': u'Point', u'coordinates': (-79.3407937524, 43.8062363627)}"
31698,334,9066025,ELITE HIGH SCHOOL,,PR,,4750 YONGE ST,Private,9066025,4750,Yonge St,4750 Yonge St,M2N 0J6,North York,Toronto,,115001,30057316,4750,,,,4733,,,,,"{u'type': u'Point', u'coordinates': (-79.4110283871, 43.760473756)}"
31699,335,390308,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,166 SYLVAN AVE,English Public,390308,166,Sylvan Ave,166 Sylvan Ave,M1E 1A3,Scarborough,Toronto,Elizabeth Simcoe Junior Public School,102001,110959,166,,,,4522,,,,,"{u'type': u'Point', u'coordinates': (-79.2060348701, 43.7381519616)}"
31700,336,4504013,ELKHORN PUBLIC SCHOOL,,EP,Toronto District School Board,10 ELKHORN DR,English Public,4504013,10,Elkhorn Dr,10 Elkhorn Dr,M2K 1J3,North York,Toronto,Elkhorn Public School,102001,4503989,10,,,,5494,,,,,"{u'type': u'Point', u'coordinates': (-79.3800624356, 43.771215393)}"
31701,337,6387831,ELLESMERE MONTESSORI,,PR,,37 MARCHINGTON CRCL,Private,6387831,37,Marchington Crcl,37 Marchington Crcl,M1R 3M6,Scarborough,Toronto,West Ellesmere United Church,109001,6387832,37,,,,8420,,,,,"{u'type': u'Point', u'coordinates': (-79.3074321386, 43.7585968747)}"
31702,338,4312082,ELLESMERE STATTON PUBLIC SCHOOL,,EP,Toronto District School Board,739 ELLESMERE RD,English Public,4312082,739,Ellesmere Rd,739 Ellesmere Rd,M1P 2W1,Scarborough,Toronto,Ellesmere-Statton Public School,102001,14663886,739,,,,7835,,,,,"{u'type': u'Point', u'coordinates': (-79.2875719983, 43.7636236124)}"
31703,339,3614123,ELLINGTON MONTESSORI,,PR,,40 COWDRAY CRT,Private,3614123,40,Cowdray Crt,40 Cowdray Crt,M1S 1A1,Scarborough,Toronto,,113001,3613591,40,,,,7667,,,,,"{u'type': u'Point', u'coordinates': (-79.2843535492, 43.780270427)}"
31704,340,8128665,ELMBANK JUNIOR MIDDLE ACADEMY,,EP,Toronto District School Board,10 PITTSBORO DR,English Public,8128665,10,Pittsboro Dr,10 Pittsboro Dr,M9V 3R4,Etobicoke,Toronto,Elmbank Junior Middle Academy,102001,20053315,10,,,,2278,,,,,"{u'type': u'Point', u'coordinates': (-79.5900470677, 43.7365019019)}"
31705,341,10010732,ELMLEA JUNIOR SCHOOL,,EP,Toronto District School Board,50 HADRIAN DR,English Public,10010732,50,Hadrian Dr,50 Hadrian Dr,M9W 1V4,Etobicoke,Toronto,Elmlea Public School,102001,20053010,50,,,,1737,,,,,"{u'type': u'Point', u'coordinates': (-79.5498701971, 43.7159386194)}"
31706,342,9135240,ELPIS COLLEGE TORONTO,,PR,,18 GREENFIELD AVE,Private,9135240,18,Greenfield Ave,18 Greenfield Ave,M2N 3C8,North York,Toronto,,112001,20040806,18,,,,5748,,,,,"{u'type': u'Point', u'coordinates': (-79.4107729639, 43.7636049969)}"
31707,343,574355,EMERY COLLEGIATE INSTITUTE,,EP,Toronto District School Board,3395 WESTON RD,English Public,574355,3395,Weston Rd,3395 Weston Rd,M9M 2V9,North York,Toronto,Emery Collegiate Institute,102002,30117738,3395,,,,952,,,,,"{u'type': u'Point', u'coordinates': (-79.5395569846, 43.7487227091)}"
31708,344,574355,EMERY EDVANCE ADULT LEARNING CENTRE,,EP,Toronto District School Board,3395 WESTON RD,English Public,574355,3395,Weston Rd,3395 Weston Rd,M9M 2V9,North York,Toronto,Emery Collegiate Institute,102002,30117738,3395,,,,952,,,,,"{u'type': u'Point', u'coordinates': (-79.5395569846, 43.7487227091)}"
31709,345,349131,EMILY CARR PUBLIC SCHOOL,,EP,Toronto District School Board,90 JOHN TABOR TRL,English Public,349131,90,John Tabor Trl,90 John Tabor Trl,M1B 2V2,Scarborough,Toronto,Emily Carr Public School,102001,104486,90,,,,8200,,,,,"{u'type': u'Point', u'coordinates': (-79.2069358552, 43.8050223865)}"
31710,346,9638341,ENQUIRING MINDS MONTESSORI CASA SCHOOL,,PR,,24 PROGRESS AVE,Private,9638341,24,Progress Ave,24 Progress Ave,M1P 2Y4,Scarborough,Toronto,,115001,9638338,24,,,,8740,,,,,"{u'type': u'Point', u'coordinates': (-79.2801611624, 43.7704172494)}"
31711,347,373586,EPIPHANY OF OUR LORD CATHOLIC ACADEMY,,ES,Toronto Catholic District School Board,3150 PHARMACY AVE,English Separate,373586,3150,Pharmacy Ave,3150 Pharmacy Ave,M1W 3J5,Scarborough,Toronto,Epiphany of Our Lord Catholic Academy,102004,14668282,3150,,,,8691,,,,,"{u'type': u'Point', u'coordinates': (-79.328940246, 43.7989580963)}"
31712,348,820061,EQUINOX HOLISTIC ALTERNATIVE SCHOOL,,EP,Toronto District School Board,151 HIAWATHA RD,English Public,820061,151,Hiawatha Rd,151 Hiawatha Rd,M4L 2Y1,former Toronto,Toronto,Roden Junior Public School,102001,14022212,151,,,,3656,,,,,"{u'type': u'Point', u'coordinates': (-79.3230764862, 43.6738732739)}"
31713,349,498502,ERNEST PUBLIC SCHOOL,,EP,Toronto District School Board,150 CHEROKEE BLVD,English Public,498502,150,Cherokee Blvd,150 Cherokee Blvd,M2J 4A4,North York,Toronto,Ernest Public School,102001,436907,150,,,,5182,,,,,"{u'type': u'Point', u'coordinates': (-79.3373825688, 43.7914154651)}"
31714,350,6316533,ERUDITE ELEMENTARY SCHOOL,,PR,,2323 BLOOR ST W,Private,6316533,2323,Bloor St W,2323 Bloor St W,M6S 4W1,former Toronto,Toronto,,107005,6314757,2323,,,,458,,,,,"{u'type': u'Point', u'coordinates': (-79.4799888562, 43.6500081301)}"
31715,351,30024677,ESSEX JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,50 ESSEX ST,English Public,30024677,50,Essex St,50 Essex St,M6G 1T3,former Toronto,Toronto,Essex Junior and Senior School Public School,102001,30017326,50,,,,3408,,,,,"{u'type': u'Point', u'coordinates': (-79.4223654835, 43.6682357494)}"
31716,352,7940034,ETIENNE BRULE JUNIOR SCHOOL,,EP,Toronto District School Board,50 CLOVERHILL RD,English Public,7940034,50,Cloverhill Rd,50 Cloverhill Rd,M8Y 1T3,Etobicoke,Toronto,Etienne Brule Junior Public School,102001,7940032,50,,,,1363,,,,,"{u'type': u'Point', u'coordinates': (-79.4896844559, 43.6356187407)}"
31717,353,10756789,ETOBICOKE COLLEGIATE INSTITUTE,,EP,Toronto District School Board,86 MONTGOMERY RD,English Public,10756789,86,Montgomery Rd,86 Montgomery Rd,M9A 3N5,Etobicoke,Toronto,Etobicoke Collegiate Institute,102002,10756784,86,,,,2136,,,,,"{u'type': u'Point', u'coordinates': (-79.5222962139, 43.6500842008)}"
31718,354,10142862,ETOBICOKE SCHOOL OF THE ARTS,,EP,Toronto District School Board,675 ROYAL YORK RD,English Public,10142862,675,Royal York Rd,675 Royal York Rd,M8Y 2T1,Etobicoke,Toronto,Etobicoke School Of The Arts,102002,10142864,675,,,,2413,,,,,"{u'type': u'Point', u'coordinates': (-79.504148517, 43.630732205)}"
31719,355,9109922,ETOBICOKE YEAR ROUND ALTERNATIVE CENTRE,,EP,Toronto District School Board,160 SILVERHILL DR,English Public,9109922,160,Silverhill Dr,160 Silverhill Dr,M9B 3W7,Etobicoke,Toronto,,115001,9109918,160,,,,2484,,,,,"{u'type': u'Point', u'coordinates': (-79.5512761137, 43.633857846)}"
31720,356,4248888,EXCEL HIGH SCHOOL,,PR,,55 NUGGET AVE,Private,4248888,55,Nugget Ave,55 Nugget Ave,M1S 3L1,Scarborough,Toronto,,113001,4248848,55,,,,11074,,,,,"{u'type': u'Point', u'coordinates': (-79.2578080337, 43.7921385077)}"
31721,357,30006529,EXTRAORDINARY EDUCATION CENTRE,,PR,,462 MCNICOLL AVE,Private,30006529,462,McNicoll Ave,462 McNicoll Ave,M2H 2E1,North York,Toronto,,113001,11484469,462,,,,6195,,,,,"{u'type': u'Point', u'coordinates': (-79.3418182907, 43.8045122986)}"
31722,358,54313,F H MILLER JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,300 CALEDONIA RD,English Public,54313,300,Caledonia Rd,300 Caledonia Rd,M6E 4T5,York,Toronto,F. H. Miller Junior Public School,102001,14072354,300,,,,481,,,,,"{u'type': u'Point', u'coordinates': (-79.458898094, 43.6840057733)}"
31723,359,62504,FAIRBANK MEMORIAL COMMUNITY SCHOOL,,EP,Toronto District School Board,555 HARVIE AVE,English Public,62504,555,Harvie Ave,555 Harvie Ave,M6E 4M2,York,Toronto,Fairbank Memorial Community School - Building Grounds,102001,8067,555,,,,648,,,,,"{u'type': u'Point', u'coordinates': (-79.4554057013, 43.6917032418)}"
31724,360,9741283,FAIRBANK PUBLIC SCHOOL,,EP,Toronto District School Board,2335 DUFFERIN ST,English Public,9741283,2335,Dufferin St,2335 Dufferin St,M6E 3S5,York,Toronto,Fairbank Middle Public School,102001,9741259,2335,,,,557,,,,,"{u'type': u'Point', u'coordinates': (-79.4490892289, 43.6942876649)}"
31725,361,373577,FAIRGLEN JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,2200 PHARMACY AVE,English Public,373577,2200,Pharmacy Ave,2200 Pharmacy Ave,M1W 1H8,Scarborough,Toronto,Fairglen Junior Public School,102001,106776,2200,,,,8691,,,,,"{u'type': u'Point', u'coordinates': (-79.3222381904, 43.7849363771)}"
31726,362,2261459,FAIRMOUNT JUNIOR PUBLIC SCHOOL,,EP,Toronto District School Board,31 SLOLEY RD,English Public,2261459,31,Sloley Rd,31 Sloley Rd,M1M 1C7,Scarborough,Toronto,Fairmount Junior Public School,102001,2261458,31,,,,8967,,,,,"{u'type': u'Point', u'coordinates': (-79.2308941806, 43.7197580925)}"
31727,363,10144967,FATHER HENRY CARR CATHOLIC SECONDARY SCHOOL,,ES,Toronto Catholic District School Board,1760 MARTIN GROVE RD,English Separate,10144967,1760,Martin Grove Rd,1760 Martin Grove Rd,M9V 3S4,Etobicoke,Toronto,Father Henry Carr,102004,10144951,1760,,,,2066,,,,,"{u'type': u'Point', u'coordinates': (-79.5922999387, 43.7357651008)}"
31728,364,14600948,FATHER JOHN REDMOND CATHOLIC SECONDARY SCHOOL,,ES,Toronto Catholic District School Board,28 COLONEL SAMUEL SMITH PARK DR,English Separate,14600948,28,Colonel Samuel Smith Park Dr,28 Colonel Samuel Smith Park Dr,M8V 4B7,Etobicoke,Toronto,"Father John Redmond, Ken Cox Community Centre",102004,30016383,28,,,,15629,,,,,"{u'type': u'Point', u'coordinates': (-79.5165387693, 43.5951413486)}"
31729,365,1035168,FATHER SERRA CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,111 SUN ROW DR,English Separate,1035168,111,Sun Row Dr,111 Sun Row Dr,M9P 3J3,Etobicoke,Toronto,Father Serra Catholic School,102003,909192,111,,,,2554,,,,,"{u'type': u'Point', u'coordinates': (-79.5370181386, 43.6859442409)}"
31730,366,8014986,FAYWOOD ARTS BASED CURRICULUM SCHOOL,,EP,Toronto District School Board,95 FAYWOOD BLVD,English Public,8014986,95,Faywood Blvd,95 Faywood Blvd,M3H 2X5,North York,Toronto,Faywood Arts-Based Curriculum School,102001,442642,95,,,,5570,,,,,"{u'type': u'Point', u'coordinates': (-79.446697335, 43.7398550355)}"
31731,367,515284,FENSIDE PUBLIC SCHOOL,,EP,Toronto District School Board,131 FENSIDE DR,English Public,515284,131,Fenside Dr,131 Fenside Dr,M3A 2V9,North York,Toronto,Fenside Public School,102001,439443,131,,,,5578,,,,,"{u'type': u'Point', u'coordinates': (-79.32912658, 43.764580519)}"
31732,368,8007871,FERN AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,128 FERN AVE,English Public,8007871,128,Fern Ave,128 Fern Ave,M6R 1K3,former Toronto,Toronto,Fern Avenue Public School,102001,14017573,128,,,,591,,,,,"{u'type': u'Point', u'coordinates': (-79.4461128419, 43.6451803159)}"
31733,369,9655345,FIELDSTONE DAY SCHOOL,,PR,,2999 DUFFERIN ST,Private,9655345,2999,Dufferin St,2999 Dufferin St,M6B 3T4,North York,Toronto,,115001,9655343,2999,,,,557,,,,,"{u'type': u'Point', u'coordinates': (-79.4533841408, 43.7118733584)}"
31734,370,9655345,FIELDSTONE KING'S COLLEGE SCHOOL,,PR,,2999 DUFFERIN ST,Private,9655345,2999,Dufferin St,2999 Dufferin St,M6B 3T4,North York,Toronto,,115001,9655343,2999,,,,557,,,,,"{u'type': u'Point', u'coordinates': (-79.4533841408, 43.7118733584)}"
31735,371,4429315,FINCH AT WARDEN ADULT EDUCATION CENTRE,,ES,Toronto Catholic District School Board,3430 FINCH AVE E,English Separate,4429315,3430,Finch Ave E,3430 Finch Ave E,M1W 2R5,Scarborough,Toronto,,115001,4435020,3430,,,,5589,,,,,"{u'type': u'Point', u'coordinates': (-79.314548017, 43.797318831)}"
31736,372,9084973,FINCH PUBLIC SCHOOL,,EP,Toronto District School Board,277 FINCH AVE E,English Public,9084973,277,Finch Ave E,277 Finch Ave E,M2N 4S3,North York,Toronto,Finch Public School,102001,9084975,277,,,,5589,,,,,"{u'type': u'Point', u'coordinates': (-79.3949742011, 43.7838330778)}"
31737,373,880193,FIRESIDE ANALYTICS,,PR,,11 WATKINSON AVE,Private,880193,11,Watkinson Ave,11 Watkinson Ave,M6P 2E6,former Toronto,Toronto,,112001,14014145,11,,,,4637,,,,,"{u'type': u'Point', u'coordinates': (-79.4599510671, 43.6653686112)}"
31738,374,3062806,FIRGROVE PUBLIC SCHOOL,,EP,Toronto District School Board,270 FIRGROVE CRES,English Public,3062806,270,Firgrove Cres,270 Firgrove Cres,M3N 1K8,North York,Toronto,Firgrove Public School,102001,30092050,270,,,,5594,,,,,"{u'type': u'Point', u'coordinates': (-79.5199108622, 43.7520008914)}"
31739,375,30055925,FISHERVILLE SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,425 PATRICIA AVE,English Public,30055925,425,Patricia Ave,425 Patricia Ave,M2R 2N1,North York,Toronto,,102001,7156908,425,,,,6386,,,,,"{u'type': u'Point', u'coordinates': (-79.4411616325, 43.7845564408)}"
31740,376,4124712,FLEMING PUBLIC SCHOOL,,EP,Toronto District School Board,20 LITTLES RD,English Public,4124712,20,Littles Rd,20 Littles Rd,M1B 5B5,Scarborough,Toronto,Fleming Public School,102001,4124713,20,,,,19464,,,,,"{u'type': u'Point', u'coordinates': (-79.2033845823, 43.8154347835)}"
31741,377,7062866,FLEMINGTON PUBLIC SCHOOL,,EP,Toronto District School Board,10 FLEMINGTON RD,English Public,7062866,10,Flemington Rd,10 Flemington Rd,M6A 2N4,North York,Toronto,Flemington Public School,102001,7062864,10,,,,5608,,,,,"{u'type': u'Point', u'coordinates': (-79.4444540038, 43.7200875787)}"
31742,378,7273342,FOREST HILL ACADEMY SECONDARY SCHOOL,,PR,,439 SPADINA RD,Private,7273342,439,Spadina Rd,439 Spadina Rd,M5P 3M6,former Toronto,Toronto,,107010,7273310,439,,,,4428,,,,,"{u'type': u'Point', u'coordinates': (-79.4125902971, 43.6892463965)}"
31743,379,800884,FOREST HILL COLLEGIATE INSTITUTE,,EP,Toronto District School Board,730 EGLINTON AVE W,English Public,800884,730,Eglinton Ave W,730 Eglinton Ave W,M5N 1B9,former Toronto,Toronto,Forest Hill Collegiate Institute,102002,1138689,730,,,,571,,,,,"{u'type': u'Point', u'coordinates': (-79.4213427841, 43.7030582555)}"
31744,380,797816,FOREST HILL JUNIOR & SENIOR PUBLIC SCHOOL,,EP,Toronto District School Board,78 DUNLOE RD,English Public,797816,78,Dunloe Rd,78 Dunloe Rd,M5P 2T6,former Toronto,Toronto,Forest Hill Public School,102001,1139009,78,,,,3338,,,,,"{u'type': u'Point', u'coordinates': (-79.4139385899, 43.695376257)}"
31745,381,7103267,FOREST HILL MONTESSORI - ELEMENTARY CAMPUS,,PR,,585 CRANBROOKE AVE,Private,7103267,585,Cranbrooke Ave,585 Cranbrooke Ave,M6A 2X9,North York,Toronto,,102005,7103206,585,,,,3234,,,,,"{u'type': u'Point', u'coordinates': (-79.429618219, 43.7234193195)}"
31746,382,517448,FOREST MANOR PUBLIC SCHOOL,,EP,Toronto District School Board,25 FOREST MANOR RD,English Public,517448,25,Forest Manor Rd,25 Forest Manor Rd,M2J 1M4,North York,Toronto,Forest Manor Public School,102001,30095974,25,,,,5625,,,,,"{u'type': u'Point', u'coordinates': (-79.3430668038, 43.7710427399)}"
31747,383,334378,FRANCIS LIBERMANN CATHOLIC HIGH SCHOOL,,ES,Toronto Catholic District School Board,4640 FINCH AVE E,English Separate,334378,4640,Finch Ave E,4640 Finch Ave E,M1S 4G2,Scarborough,Toronto,Francis Libermann Catholic High School,102004,104469,4640,,,,5589,,,,,"{u'type': u'Point', u'coordinates': (-79.2743078385, 43.8073923412)}"
