_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
31839,475,HOWARD JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Howard Public School,"-79.4522720931, 43.6504263127"
31840,476,HOWLETT ACADEMY,,Private,former Toronto,,"-79.4027597449, 43.6679626848"
31841,477,HUDSON COLLEGE,,Private,former Toronto,Hudson School,"-79.4445207404, 43.6796913569"
31842,478,HUMBER COLLEGE - LAKESHORE CAMPUS WEST,,,Etobicoke,,"-79.5203039257, 43.5969968133"
31843,479,HUMBER COLLEGE - NORTH CAMPUS,,,Etobicoke,Humber College Athletic Centre,"-79.6068398627, 43.7291665492"
31844,480,HUMBER COLLEGE - POWER BOATING AND SAILING,,,Etobicoke,Humber Bay Park East,"-79.4810845355, 43.6187788611"
31845,481,HUMBER COLLEGE - UNIVERSITY OF GUELPH BUILDING,,,Etobicoke,University of Guelph Campus,"-79.6058720271, 43.7282020852"
31846,482,HUMBER SUMMIT MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Humber Summit Middle School,"-79.5645221887, 43.7505647535"
31847,483,HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Humber Valley Village Public School,"-79.5265666084, 43.6654435062"
31848,484,HUMBERCREST PUBLIC SCHOOL,Toronto District School Board,English Public,York,Humbercrest Public School,"-79.4910553735, 43.6604526501"
31849,485,HUMBERSIDE COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Humberside Collegiate Institute,"-79.4706428031, 43.6599427157"
31850,486,HUMBERSIDE MONTESSORI,,Private,former Toronto,,"-79.474911488, 43.6508617538"
31851,487,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY,Toronto District School Board,English Public,Etobicoke,Humberwood Park,"-79.6191818734, 43.7288858668"
31852,488,HUMEWOOD COMMUNITY SCHOOL,Toronto District School Board,English Public,York,Humewood Community School,"-79.4280204517, 43.686635093"
31853,489,HUNTER'S GLEN JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Hunter's Glen Junior Public School,"-79.2601219895, 43.7457122546"
31854,490,HURON STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Huron Street Public School,"-79.4024215881, 43.67057551"
31855,491,IMMACULATE CONCEPTION CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Immaculate Conception Catholic School,"-79.4778216965, 43.6976801383"
31856,492,IMMACULATE HEART OF MARY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Immaculate Heart of Mary,"-79.2624580005, 43.6961447952"
31857,493,IMPERIAL COLLEGE OF TORONTO,,Private,Etobicoke,,"-79.5042246384, 43.6230412454"
31858,494,INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Indian Road Crescent Public School,"-79.4600779001, 43.6625287329"
31859,495,INGLENOOK COMMUNITY SCHOOL,Toronto District School Board,English Public,former Toronto,Inglenook Community School,"-79.3594007219, 43.6539752895"
31860,496,INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Inglewood Heights Junior Public School,"-79.2923181526, 43.7794075284"
31861,497,INSIGHT ACADEMY OF CANADA,,Private,Scarborough,,"-79.3342656161, 43.804067409"
31862,498,INSTITUTE OF CANADIAN EDUCATION,,Private,Etobicoke,,"-79.5239498261, 43.6856250922"
31863,499,IONVIEW PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Ionview Public School,"-79.2743179577, 43.737451624"
