_id,OBJECTID,NAME,BOARD_NAME,SCHOOL_TYPE_DESC,MUNICIPALITY,PLACE_NAME,geometry
31976,612,MAPLE LEAF PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Maple Leaf Public School,"-79.4902752212, 43.7148506432"
31977,613,MAPLEWOOD HIGH SCHOOL,Toronto District School Board,English Public,Scarborough,Maplewood High School,"-79.1948946346, 43.7588978528"
31978,614,MARC GARNEAU COLLEGIATE INSTITUTE,Toronto District School Board,English Public,North York,Marc Garneau Collegiate Institute,"-79.3349679464, 43.7089756854"
31979,615,MARIA MONTESSORI,,Private,East York,Northlea United Church,"-79.3630591104, 43.717378797"
31980,616,MARIYAH ISLAMIC SCHOOL,,Private,Scarborough,,"-79.2204196022, 43.7603212832"
31981,617,MARKET LANE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Market Lane Ps Jr. & Sr.,"-79.364741396, 43.6498503803"
31982,618,MARKHAM INTERNATIONAL COLLEGE SCHOOL,,Private,Scarborough,,"-79.31237507, 43.7775196028"
31983,619,MARSHALL MCLUHAN CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,Marshall McLuhan Catholic School,"-79.409735163, 43.7076002457"
31984,620,MARTINGROVE COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Etobicoke,Martingrove Collegiate Institute,"-79.5607396404, 43.6733827723"
31985,621,MARY MOTHER OF GOD,,Private,former Toronto,,"-79.4414399435, 43.6392854033"
31986,622,MARY SHADD PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Mary Shadd Public School,"-79.2183240429, 43.814395698"
31987,623,MARY WARD CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Mary Ward Catholic Secondary School,"-79.3039400657, 43.8157534238"
31988,624,MARY WARD LINC AND ESL CENTRE,Toronto Catholic District School Board,English Separate,Scarborough,Mary Ward Linc and Esl Centre,"-79.3241164541, 43.7918372536"
31989,625,MARYVALE PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Maryvale Public School,"-79.3078361832, 43.7548220682"
31990,626,MASON ROAD JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Mason Road Junior Public School,"-79.2256545936, 43.739056438"
31991,627,MATRIX ACADEMY,,Private,North York,Keele Reservoir,"-79.4940174471, 43.7796400215"
31992,628,MAURICE CODY JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Maurice Cody Junior Public School,"-79.3776790177, 43.7048143191"
31993,629,MCCANNY SECONDARY SCHOOL,,Private,Scarborough,,"-79.3334180682, 43.8037726233"
31994,630,MCDONALD INTERNATIONAL ACADEMY,,Private,former Toronto,,"-79.3889952169, 43.6741032299"
31995,631,MCDONALD INTERNATIONAL ACADEMY - NORTH YORK,,Private,North York,,"-79.41476498, 43.7685488622"
31996,632,MCKEE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,McKee Public School,"-79.4110562495, 43.774107859"
31997,633,MCMURRICH JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,McMurrich Junior Public School,"-79.4310619547, 43.6780763705"
31998,634,MCNICOLL AVENUE SCHOOL BUILDING,Toronto District School Board,English Public,North York,,"-79.3580843926, 43.7989816726"
31999,635,MEADOWVALE PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Meadowvale Public School - Building Grounds,"-79.1640681824, 43.7955110108"
32000,636,MELODY VILLAGE JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Melody Village Public School,"-79.5948425834, 43.7381347518"
32001,637,METAMORPHOSIS GREEK ORTHODOX,,Private,North York,,"-79.3548698162, 43.7466801118"
32002,638,METRO INTERNATIONAL ACADEMY SCHOOL,,Private,North York,,"-79.346683029, 43.7454129178"
32003,639,METROPOLITAN BIBLE BAPTIST CHRISTIAN ACADEMY,,Private,North York,Newtonbrook Baptist Church,"-79.4149573861, 43.7943828835"
32004,640,METROPOLITAN PREPARATORY ACADEMY,,Private,North York,,"-79.3183007809, 43.7240110448"
32005,641,MICHAEL POWER ST JOSEPH CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Michael Power/St. Joseph Catholic School,"-79.5819840831, 43.6592899897"
32006,642,MIDLAND ADULT EDUCATION CENTRE,Toronto Catholic District School Board,English Separate,Scarborough,,"-79.2893531869, 43.8074335012"
32007,643,MILITARY TRAIL PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Military Trail Public School,"-79.1971169704, 43.7891154918"
32008,644,MILL VALLEY JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Mill Valley Public School,"-79.5869715709, 43.6441893872"
32009,645,MILLIKEN PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Milliken Public School,"-79.2884969458, 43.8165865458"
32010,646,MILLWOOD JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,,"-79.576914819, 43.6334096402"
32011,647,MILNE VALLEY MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Milne Valley Middle School,"-79.3267091237, 43.7472020482"
32012,648,MIMICO ADULT CENTRE,Toronto District School Board,English Public,Etobicoke,,"-79.4966462297, 43.6130763326"
32013,649,MINDWERX4KIDS LEARNING CENTRE,,Private,Etobicoke,,"-79.5376085289, 43.6410805752"
32014,650,MONARCH PARK COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Monarch Park Collegiate,"-79.3227718926, 43.6792807308"
32015,651,MONSEIGNEUR DE CHARBONNEL CATHOLIC SECONDARY SCHOOL,Conseil scolaire de district catholique Centre-Sud,French Separate,North York,Mgr-De-Charbonnel,"-79.4236071352, 43.7866244565"
32016,652,MONSIGNER FRASIER OUR LADY OF MOUNT CARMEL SCHOOL BUILDING,Toronto Catholic District School Board,English Separate,North York,Our Lady Of Mount Carmel Catholic School,"-79.3368020983, 43.796613926"
32017,653,MONSIGNOR FRASER COLLEGE - ANNEX CAMPUS,Toronto Catholic District School Board,English Separate,former Toronto,MSGR Fraser College - Annex Campus,"-79.4137512495, 43.6672550542"
32018,654,MONSIGNOR FRASER COLLEGE - ISABELLA CAMPUS,Toronto Catholic District School Board,English Separate,former Toronto,MSGR Fraser College - Isabella Campus,"-79.3769589373, 43.6697491634"
32019,655,MONSIGNOR FRASER COLLEGE - MIDLAND CAMPUS,Toronto Catholic District School Board,English Separate,Scarborough,Msgr.  Fraser College Midland Campus,"-79.285717492, 43.8010691647"
32020,656,MONSIGNOR FRASER COLLEGE - MIDLAND NORTH CAMPUS,Toronto Catholic District School Board,English Separate,Scarborough,Msgr.  Fraser College Midland Campus,"-79.285717492, 43.8010691647"
32021,657,MONSIGNOR FRASER COLLEGE - MIDTOWN,Toronto Catholic District School Board,English Separate,former Toronto,MSGR Fraser College - Midtown Campus,"-79.399960754, 43.7065950023"
32022,658,MONSIGNOR FRASER COLLEGE - NORFINCH CAMPUS,Toronto Catholic District School Board,English Separate,North York,MSGR Fraser College - Norfinch Campus,"-79.5270429515, 43.7578095275"
32023,659,MONSIGNOR FRASER COLLEGE - ST MARTIN,Toronto Catholic District School Board,English Separate,former Toronto,St. Martin Catholic School,"-79.3644258454, 43.6671745214"
32024,660,MONSIGNOR JOHN CORRIGAN CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Msgr. John Corrigan Catholic School,"-79.6050136937, 43.7515700508"
32025,661,MONSIGNOR PERCY JOHNSON CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Msgr. Percy Johnson Catholic High School,"-79.5720168856, 43.7206946675"
32026,662,MONTCREST SCHOOL,,Private,former Toronto,,"-79.3575714495, 43.6731667604"
32027,663,MONTESSORI JEWISH DAY,,Private,North York,Beth David Bnai Israel Synagogue,"-79.4398398275, 43.7492508687"
32028,664,MONTROSE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Montrose Public School,"-79.4188437208, 43.6586815852"
32029,665,MORRISH PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Morrish Public School,"-79.1792700315, 43.7931879169"
32030,666,MORSE STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Morse Street Junior Public School,"-79.3401666941, 43.6601669225"
32031,667,MOTHER CABRINI CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Mother Cabrini Catholic School,"-79.5860339131, 43.6636644387"
32032,668,MOUNTVIEW ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,English Public,York,Runnymede Collegiate Institute,"-79.4898113825, 43.6635322655"
32033,669,MUIRHEAD PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Muirhead Public School,"-79.3374501774, 43.7788840209"
32034,670,NATIONAL BALLET SCHOOL,,Private,former Toronto,National Ballet School,"-79.3775832929, 43.6635981417"
32035,671,NATIVE LEARNING CENTRE,Toronto District School Board,English Public,former Toronto,Church Street Public School,"-79.3791781654, 43.6636084257"
32036,672,NATIVE LEARNING CENTRE EAST,Toronto District School Board,English Public,Scarborough,Sir Wilfrid Laurier Collegiate Institute,"-79.1969914784, 43.7470335032"
32037,673,NATIVITY OF OUR LORD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Nativity of Our Lord Catholic School,"-79.5755064668, 43.6534070909"
32038,674,NEIL MCNEIL CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Neil McNeil,"-79.2828981619, 43.6792997723"
32039,675,NELSON MANDELA PARK PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Nelson Mandela Park Public School,"-79.3605527757, 43.6582511901"
32040,676,NEW ARISING CHRISTIAN SCHOOL,,Private,Etobicoke,St Agnes Church Anglican,"-79.533384564, 43.5936335553"
32041,677,NEW COVENANT CHURCH SCHOOL,,Private,Scarborough,,"-79.2448446014, 43.7745350941"
32042,678,NEW HAVEN LEARNING CTR FOR CHILDREN,,Private,Etobicoke,,"-79.5336104774, 43.6111896759"
32043,679,NEWTON INTERNATIONAL COLLEGE SCHOOL,,Private,former Toronto,,"-79.3760168994, 43.6504652934"
32044,680,NEWTONBROOK SECONDARY SCHOOL,Toronto District School Board,English Public,North York,Newtonbrook Secondary School,"-79.4262425901, 43.7935491355"
32045,681,NIAGARA STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Niagara St Public School,"-79.408252925, 43.6439374595"
32046,682,NILE ACADEMY - BLUE HAVEN CAMPUS,,Private,North York,Bambolino Preschool Montessori Academy,"-79.5582630205, 43.7445216084"
32047,683,NOBEL ACADEMY,,Private,North York,,"-79.4154068586, 43.7806289558"
32048,684,NOORI ISLAMIC INSTITUTE ELEMENTARY SCHOOL,,Private,Etobicoke,,"-79.564041582, 43.712623559"
32049,685,NORMAN COOK JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Norman Cook Junior Public School,"-79.2577951259, 43.7190391303"
32050,686,NORMAN INGRAM PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Norman Ingram Public School,"-79.3496061486, 43.7399524524"
32051,687,NORSEMAN JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Norseman Junior Middle School,"-79.5163297489, 43.6343052597"
32052,688,NORTH AGINCOURT JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,North Agincourt Junior Public School,"-79.2762127949, 43.7964537062"
32053,689,NORTH ALBION COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Etobicoke,North Albion Collegiate Institute,"-79.5851427788, 43.7471415695"
32054,690,NORTH BENDALE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,North Bendale Junior Public School,"-79.2478021031, 43.7705721088"
32055,691,NORTH BRIDLEWOOD JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,North Bridlewood Public School,"-79.3185870835, 43.7889163555"
32056,692,NORTH EAST YEAR ROUND ALTERNATIVE CENTRE,Toronto District School Board,English Public,North York,Woodbine Junior High School,"-79.349385411, 43.7824288155"
32057,693,NORTH KIPLING JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,"North Kipling Junior Middle School, North Kipling Community Centre","-79.5844719859, 43.7520919013"
32058,694,NORTH PREPARATORY JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,North Preparatory Public School,"-79.4203748854, 43.7057655831"
32059,695,NORTH TORONTO CHRISTIAN SCHOOL,,Private,North York,,"-79.3367506937, 43.7734330101"
32060,696,NORTH TORONTO COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,,"-79.3966000753, 43.709806734"
32061,697,NORTH WEST YEAR ROUND ALTERNATIVE,Toronto District School Board,English Public,North York,,"-79.4411616325, 43.7845564408"
32062,698,NORTH YORK LINC,Toronto District School Board,English Public,North York,,"-79.3783925772, 43.7683164394"
32063,699,NORTHERN SECONDARY SCHOOL,Toronto District School Board,English Public,former Toronto,Northern Secondary School,"-79.3901642998, 43.7105370976"
32064,700,NORTHLEA ELEMENTARY & MIDDLE SCHOOL,Toronto District School Board,English Public,East York,Northlea Public School,"-79.3696628901, 43.714443665"
32065,701,NORTHMOUNT SCHOOL,,Private,North York,,"-79.3499322134, 43.7477223223"
32066,702,NORTHVIEW HEIGHTS SECONDARY SCHOOL,Toronto District School Board,English Public,North York,Northview Heights Secondary School,"-79.446117707, 43.7738827739"
32067,703,NORWAY JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Norway Public School,"-79.3066687043, 43.676279047"
32068,704,NOTRE DAME CATHOLIC HIGH SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,Notre Dame High School,"-79.2931313771, 43.6806857788"
32069,705,NOTRE DAME DE GRACE CATHOLIC ELEMENTARY SCHOOL,Conseil scolaire de district catholique Centre-Sud,French Separate,Etobicoke,Notre Dame De Grace Catholic Elementary School,"-79.5598091719, 43.6792638343"
32070,706,OAK LEARNERS,,Private,Etobicoke,,"-79.4998646877, 43.6190221048"
32071,707,OAKDALE PARK MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Oakdale Park Middle School,"-79.5119920581, 43.7474650746"
32072,708,OAKRIDGE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Oakridge Junior Public School,"-79.2815887509, 43.6954675998"
32073,709,OAKWOOD COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Oakwood Collegiate Institute,"-79.4363790056, 43.6786558887"
32074,710,OAKWOOD VILLAGE MONTESSORI SCHOOL,,Private,York,,"-79.4398412899, 43.6910539306"
32075,711,OASIS ALTERNATIVE SECONDARY SCHOOL,Toronto District School Board,English Public,former Toronto,Alpha Alternative Junior Public School,"-79.3982225847, 43.6457220332"
32076,712,OCAD UNIVERSITY - ABOVEGRD ART SUPPLIES,,University,former Toronto,,"-79.390912964, 43.6524633701"
32077,713,OCAD UNIVERSITY - ANNEX BUILDING,,University,former Toronto,,"-79.3910771988, 43.6539177498"
32078,714,OCAD UNIVERSITY - INCLUSIVE DESIGN INSTITUTE,,University,former Toronto,,"-79.3900624572, 43.6515933302"
32079,715,OCAD UNIVERSITY - MAIN BUILDING,,University,former Toronto,,"-79.3912049794, 43.6530033697"
32080,716,OCAD UNIVERSITY - ROSALIE SHARP PAVILION,,University,former Toronto,,"-79.3911552491, 43.6540223298"
32081,717,OCAD UNIVERSITY - STUDENT CENTRE,,University,former Toronto,,"-79.3901495341, 43.6518576128"
32082,718,OCAD UNIVERSITY - THE LEARNING ZONE,,University,former Toronto,,"-79.3901433056, 43.6534723512"
32083,719,O'CONNOR PUBLIC SCHOOL,Toronto District School Board,English Public,North York,O'Connor Public School,"-79.3041521329, 43.7165073254"
32084,720,OGDEN JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Ogden Public School,"-79.395126856, 43.6500136151"
32085,721,OLIVET NEW CHURCH,,Private,Etobicoke,,"-79.5448717545, 43.6500467209"
32086,722,ONE DIRECTION ACADEMY SECONDARY SCHOOL,,Private,North York,,"-79.3392782443, 43.7250025658"
32087,723,ONTARIO ACADEMY OF INTERNATIONAL EDUCATION,,Private,North York,,"-79.3252164121, 43.7740825707"
32088,724,ONTARIO ACADEMY OF TECHNOLOGY SECONDARY SCHOOL,,Private,former Toronto,Canadian Unitarian Council,"-79.3960778236, 43.7069069156"
32089,725,ONTARIO INTERNATIONAL COLLEGE,,Private,North York,,"-79.3247855638, 43.7707004338"
32090,726,ORAYNU CHILDREN'S SCHOOL,,Private,North York,St Andrew's Middle School,"-79.3903297628, 43.7515973529"
32091,727,ORDE STREET JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Orde Street Junior Public School,"-79.3922600824, 43.6586274866"
32092,728,ORIOLE PARK JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Oriole Park Junior Public School,"-79.4096932775, 43.7025715517"
32093,729,OSSINGTON OLD ORCHARD JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Ossington/Old Orchard Public School,"-79.4225997593, 43.6527076701"
32094,730,OUR LADY OF FATIMA CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Our Lady Of Fatima Catholic School,"-79.2936158401, 43.7101599387"
32095,731,OUR LADY OF GRACE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Our Lady Of Grace Catholic School,"-79.2750444662, 43.8124790854"
32096,732,OUR LADY OF GUADALUPE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Our Lady of Guadalupe,"-79.3533482303, 43.7898742437"
32097,733,OUR LADY OF LOURDES CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,Our Lady Of Lourdes Catholic School,"-79.3746955628, 43.6660434935"
32098,734,OUR LADY OF PEACE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Our Lady Of Peace Catholic School,"-79.5410781547, 43.646512249"
32099,735,OUR LADY OF PERPETUAL HELP CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,Our Lady Of Perpetual Help C S,"-79.3834646497, 43.6871050814"
32100,736,OUR LADY OF SORROWS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Etobicoke,Our Lady of Sorrows,"-79.5189670333, 43.6482193682"
32101,737,OUR LADY OF THE ASSUMPTION CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Our Lady of the Assumption Catholic School,"-79.4316993861, 43.7163703521"
32102,738,OUR LADY OF VICTORY CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,York,Our Lady Of Victory Catholic School,"-79.4898300918, 43.6836610022"
32103,739,OUR LADY OF WISDOM CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Our Lady Of Wisdom Catholic School,"-79.3083463663, 43.7619465822"
32104,740,OVERLAND LEARNING CENTRE,Toronto District School Board,English Public,North York,Overland Learning Centre,"-79.3484836115, 43.7317977236"
32105,741,OVERLEA LINC,Toronto District School Board,English Public,East York,,"-79.3516723796, 43.7036208898"
32106,742,OWEN PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Owen Public School,"-79.3925162004, 43.7490561851"
32107,743,OXFORD COLLEGE OF CANADA,,Private,North York,,"-79.4130125711, 43.7716700753"
32108,744,OXFORD COLLEGE OF CANADA SECONDARY SCHOOL,,Private,North York,,"-79.3327116127, 43.7732105926"
32109,745,P T MONTESSORI SCHOOL,,Private,North York,Elverston Trethewey United,"-79.4908558223, 43.7131715599"
32110,746,PALMERSTON AVENUE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Palmerston Avenue Public School,"-79.4152049534, 43.6681449064"
32111,747,PAPE AVENUE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Pape Avenue Junior Public School,"-79.3418936177, 43.6703518876"
32112,748,PARK LANE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Park Lane Public School,"-79.3668200605, 43.7289236203"
32113,749,PARK LAWN JUNIOR MIDDLE SCHOOL,Toronto District School Board,English Public,Etobicoke,Park Lawn Junior Middle School,"-79.4964469164, 43.6377066076"
32114,750,PARK PLACE LINC CENTRE,Toronto Catholic District School Board,English Separate,former Toronto,,"-79.4526501183, 43.6555487281"
32115,751,PARKDALE COLLEGIATE INSTITUTE,Toronto District School Board,English Public,former Toronto,Parkdale Collegiate Institute,"-79.4360685051, 43.6396575139"
32116,752,PARKDALE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Parkdale Junior & Senior Public School,"-79.4367985751, 43.6431872871"
32117,753,PARKFIELD JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Parkfield Junior Public School,"-79.5697578515, 43.6822877769"
32118,754,PARKSIDE ELEMENTARY SCHOOL,Toronto District School Board,English Public,East York,Parkside Elementary School - Building Grounds,"-79.3163183865, 43.6994434678"
32119,755,PARKVIEW ALTERNATIVE SCHOOL,Toronto District School Board,English Public,Scarborough,,"-79.3130026079, 43.76737728"
32120,756,PAUL PENNA DOWNTOWN JEWISH DAY SCHOOL,,Private,former Toronto,Miles Nadal Jewish Community Centre,"-79.404062253, 43.6662065809"
32121,757,PAULINE JOHNSON JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Pauline Johnson Public School,"-79.3035712981, 43.7851298583"
32122,758,PAULINE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Pauline Public School,"-79.4391436706, 43.6624891076"
32123,759,PELMO PARK PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Pelmo Park Public School,"-79.5181161606, 43.7120567278"
32124,760,PERCY WILLIAMS JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Percy Williams Public School,"-79.2656585281, 43.8126668818"
32125,761,PERE PHILIPPE LAMARCHE HIGH SCHOOL,Conseil scolaire de district catholique Centre-Sud,French Separate,Scarborough,Pere Philippe Lamarche High School,"-79.2407057599, 43.7388885328"
32126,762,PERTH AVENUE JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Perth Avenue Junior Public School,"-79.4524196859, 43.6628313614"
32127,763,PETRE COLLEGE,,Private,former Toronto,,"-79.4035136918, 43.7316256869"
32128,764,PHOENIX MONTESSORI,,Private,Etobicoke,Wesley Mimico United Church,"-79.4936820745, 43.6129864451"
32129,765,PIERRE LAPORTE MIDDLE SCHOOL,Toronto District School Board,English Public,North York,Pierre Laporte Middle School,"-79.4921243122, 43.7250745328"
32130,766,PINEWAY PUBLIC SCHOOL,Toronto District School Board,English Public,North York,"Pineway Public School,Pineway Park","-79.3745155238, 43.7964177776"
32131,767,PLEASANT PUBLIC SCHOOL,Toronto District School Board,English Public,North York,,"-79.4345576871, 43.7899554183"
32132,768,PLEASANT VIEW JUNIOR HIGH SCHOOL,Toronto District School Board,English Public,North York,Pleasant View Junior High School,"-79.3339032144, 43.7874877559"
32133,769,POLARIS LEARNING CENTRE,,Private,former Toronto,,"-79.3753373122, 43.7052280891"
32134,770,POPE FRANCIS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,former Toronto,Pope Francis Catholic School,"-79.421016185, 43.6516313657"
32135,771,POPLAR ROAD JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Poplar Road Junior Public School,"-79.1872408419, 43.7537306282"
32136,772,PORT ROYAL PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Port Royal Public School,"-79.28996675, 43.824632405"
32137,773,PORTAGE TRAIL COMMUNITY SCHOOL,Toronto District School Board,English Public,York,Portage Trail Community School,"-79.5097668839, 43.6922961843"
32138,774,PRECIOUS BLOOD CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Precious Blood Catholic School,"-79.3022374245, 43.7393564303"
32139,775,PRESTEIGN HEIGHTS ELEMENTARY SCHOOL,Toronto District School Board,English Public,East York,Presteign Heights Elementary School,"-79.3171939753, 43.7055433445"
32140,776,PRINCE OF PEACE CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,Scarborough,Prince Of Peace Catholic School,"-79.2789443072, 43.8253890671"
32141,777,PRINCESS MARGARET JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Princess Margaret Junior School,"-79.5590577552, 43.67122203"
32142,778,PROGRAM AND SPECIAL SERVICES - NORTH,Toronto Catholic District School Board,English Separate,North York,Our Lady Of Mount Carmel Catholic School,"-79.3368020983, 43.796613926"
32143,779,PURE DEGREE MANDARIN SCHOOL,,Private,North York,,"-79.3288850384, 43.7870317451"
32144,780,QUEEN ALEXANDRA MIDDLE SCHOOL,Toronto District School Board,English Public,former Toronto,Queen Alexandra Middle School,"-79.3500911323, 43.6616429603"
32145,781,QUEEN VICTORIA JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Queen Victoria Public School,"-79.4353206978, 43.6365094905"
32146,782,QUEEN'S ACADEMIC SCHOOL,,Private,North York,,"-79.3322488675, 43.7721013757"
32147,783,QUEEN'S COLLEGIATE SECONDARY SCHOOL,,Private,Etobicoke,,"-79.6023618931, 43.6511972298"
32148,784,QUEEN'S ELITE ACADEMY,,Private,North York,,"-79.3388293298, 43.8079510485"
32149,785,QUEST ALTERNATIVE SENIOR SCHOOL,Toronto District School Board,English Public,former Toronto,Withrow Public School,"-79.3521296601, 43.6704604609"
32150,786,R H KING ACADEMY,Toronto District School Board,English Public,Scarborough,R. H. King Academy,"-79.237450035, 43.7226223411"
32151,787,R H MCGREGOR ELEMENTARY SCHOOL,Toronto District School Board,English Public,East York,R. H. Mcgregor Public School,"-79.3271357421, 43.6899952579"
32152,788,R J LANG ELEMENTARY & MIDDLE SCHOOL,Toronto District School Board,English Public,North York,R. J. Lang Elementary and Middle School,"-79.4265104765, 43.7834853825"
32153,789,RANCHDALE PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Ranchdale Public School,"-79.3232914376, 43.7524580001"
32154,790,RAWLINSON COMMUNITY SCHOOL,Toronto District School Board,English Public,York,Rawlinson Community School,"-79.4400434191, 43.6839770689"
32155,791,REGAL ROAD JUNIOR PUBLIC SCHOOL,Toronto District School Board,English Public,former Toronto,Regal Road Public School,"-79.4400632871, 43.6737751677"
32156,792,REGENT HEIGHTS PUBLIC SCHOOL,Toronto District School Board,English Public,Scarborough,Regent Heights Junior Public School,"-79.2891326349, 43.7070156248"
32157,793,REGINA MUNDI CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,English Separate,North York,Regina Mundi Catholic School,"-79.4593958766, 43.709919821"
32158,794,RENE GORDON HEALTH & WELLNESS ACADEMY,Toronto District School Board,English Public,North York,Rene Gordon Elementary School,"-79.3401430648, 43.7619030433"
32159,795,REXDALE LEARNING CENTRE LINC,Toronto District School Board,English Public,Etobicoke,Mississauga Private School,"-79.5665521914, 43.7193132275"
32160,796,RICHVIEW COLLEGIATE INSTITUTE,Toronto District School Board,English Public,Etobicoke,Richview Collegiate Institute,"-79.5395009466, 43.6786465334"
32161,797,RIPPLETON PUBLIC SCHOOL,Toronto District School Board,English Public,North York,Rippleton Public School,"-79.360120466, 43.7409048374"
32162,798,RIVERCREST JUNIOR SCHOOL,Toronto District School Board,English Public,Etobicoke,Rivercrest Junior School,"-79.5695177436, 43.7297161801"
