_id,DATE,HOUR,geometry,ROAD_CLASS,District,WardNum,ACCLOC,LIGHT,RDSFCOND,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDCOND,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
15303,2019-05-31T04:00:00,21,"-79.310726, 43.680789",Major Arterial,Toronto and East York,19,Intersection Related,Daylight,Dry,Turning Movement,35 to 39,Major,,Disobeyed Traffic Control,Normal,,Yes,Yes,Yes,
15304,2019-05-31T04:00:00,21,"-79.310726, 43.680789",Major Arterial,Toronto and East York,19,Intersection Related,Daylight,Dry,Turning Movement,45 to 49,None,,Driving Properly,Normal,,Yes,Yes,Yes,
15305,2019-05-31T04:00:00,21,"-79.310726, 43.680789",Major Arterial,Toronto and East York,19,Intersection Related,Daylight,Dry,Turning Movement,35 to 39,Major,,,,,Yes,Yes,Yes,
15326,2019-06-06T04:00:00,21,"-79.448032, 43.753451",Major Arterial,North York,6,At Intersection,Dark,Dry,Turning Movement,85 to 89,Minimal,,Improper Turn,Inattentive,,,Yes,Yes,
15327,2019-06-06T04:00:00,21,"-79.448032, 43.753451",Major Arterial,North York,6,At Intersection,Dark,Dry,Turning Movement,30 to 34,Fatal,20,Disobeyed Traffic Control,Inattentive,,,Yes,Yes,
15018,2019-06-09T04:00:00,21,"-79.373035, 43.642471",Minor Arterial,Toronto and East York,10,Non Intersection,"Dark, artificial",Dry,Turning Movement,30 to 34,Major,,Driving Properly,Normal,,,Yes,,
15019,2019-06-09T04:00:00,21,"-79.373035, 43.642471",Minor Arterial,Toronto and East York,10,Non Intersection,"Dark, artificial",Dry,Turning Movement,55 to 59,None,,Failed to Yield Right of Way,Inattentive,,,Yes,,
15748,2019-07-31T04:00:00,21,"-79.426853, 43.642097",Pending,Toronto and East York,9,Non Intersection,"Dark, artificial",Dry,Pedestrian Collisions,30 to 34,None,,Driving Properly,Normal,,,,,
15749,2019-07-31T04:00:00,21,"-79.426853, 43.642097",Pending,Toronto and East York,9,Non Intersection,"Dark, artificial",Dry,Pedestrian Collisions,30 to 34,None,,Driving Properly,Normal,,,,,
15750,2019-07-31T04:00:00,21,"-79.426853, 43.642097",Pending,Toronto and East York,9,Non Intersection,"Dark, artificial",Dry,Pedestrian Collisions,30 to 34,None,,,,,,,,
15751,2019-07-31T04:00:00,21,"-79.426853, 43.642097",Pending,Toronto and East York,9,Non Intersection,"Dark, artificial",Dry,Pedestrian Collisions,35 to 39,Major,,,,"Ability Impaired, Alcohol Over .80",,,,
15806,2019-08-19T04:00:00,21,"-79.245052, 43.817641",Major Arterial,Scarborough,23,Non Intersection,"Dark, artificial",Dry,Rear End,20 to 24,Major,,Speed too Fast For Condition,Unknown,,Yes,Yes,,
15807,2019-08-19T04:00:00,21,"-79.245052, 43.817641",Major Arterial,Scarborough,23,Non Intersection,"Dark, artificial",Dry,Rear End,25 to 29,None,,Driving Properly,Normal,,Yes,Yes,,
15808,2019-08-19T04:00:00,21,"-79.245052, 43.817641",Major Arterial,Scarborough,23,Non Intersection,"Dark, artificial",Dry,Rear End,20 to 24,Major,,,,,Yes,Yes,,
15811,2019-08-20T04:00:00,21,"-79.385745, 43.805499",Major Arterial,North York,17,At Intersection,"Dark, artificial",Dry,Pedestrian Collisions,60 to 64,Fatal,35,,,Had Been Drinking,,,,
15812,2019-08-20T04:00:00,21,"-79.385745, 43.805499",Major Arterial,North York,17,At Intersection,"Dark, artificial",Dry,Pedestrian Collisions,30 to 34,None,,Driving Properly,Normal,,,,,
15534,2019-11-22T05:00:00,21,"-79.30225, 43.737407",Minor Arterial,Scarborough,21,At Intersection,"Dark, artificial",Dry,Pedestrian Collisions,unknown,None,,Failed to Yield Right of Way,Unknown,,,Yes,,
15535,2019-11-22T05:00:00,21,"-79.30225, 43.737407",Minor Arterial,Scarborough,21,At Intersection,"Dark, artificial",Dry,Pedestrian Collisions,35 to 39,Major,,,,Normal,,Yes,,
