AREA_ID,AREA_NAME,OBJECTID,LNG,LAT
49886,Toronto,13448849,-79.32362052,43.62952775
49886,Toronto,13448849,-79.32366094,43.62961333
49886,Toronto,13448849,-79.32372196,43.62967193
49886,Toronto,13448849,-79.32381904,43.62971259
49886,Toronto,13448849,-79.32395217,43.62973979
49886,Toronto,13448849,-79.32409079,43.62974901
49886,Toronto,13448849,-79.32422438,43.62975371
49886,Toronto,13448849,-79.32433677,43.62972688
49886,Toronto,13448849,-79.32440086,43.62966397
49886,Toronto,13448849,-79.32448162,43.62959208
49886,Toronto,13448849,-79.32458248,43.62952923
49886,Toronto,13448849,-79.32471004,43.62947991
49886,Toronto,13448849,-79.32484448,43.62945762
49886,Toronto,13448849,-79.32498199,43.62944432
49886,Toronto,13448849,-79.32509669,43.629422
49886,Toronto,13448849,-79.32515336,43.62937257
49886,Toronto,13448849,-79.32522828,43.62931418
49886,Toronto,13448849,-79.32534259,43.62929185
49886,Toronto,13448849,-79.32546218,43.62931454
49886,Toronto,13448849,-79.32558211,43.62935973
49886,Toronto,13448849,-79.32565008,43.62942734
49886,Toronto,13448849,-79.32572035,43.62949496
49886,Toronto,13448849,-79.32570503,43.62957145
49886,Toronto,13448849,-79.32560649,43.62962981
49886,Toronto,13448849,-79.32545183,43.62968358
49886,Toronto,13448849,-79.32530534,43.62972386
49886,Toronto,13448849,-79.32515029,43.62976863
49886,Toronto,13448849,-79.32500457,43.62980442
49886,Toronto,13448849,-79.32485382,43.62984469
49886,Toronto,13448849,-79.32470344,43.62988497
49886,Toronto,13448849,-79.32457513,43.62992978
49886,Toronto,13448849,-79.32443831,43.62997008
49886,Toronto,13448849,-79.32431693,43.6300239
49886,Toronto,13448849,-79.32419365,43.63007322
49886,Toronto,13448849,-79.32407654,43.63012705
49886,Toronto,13448849,-79.32398148,43.63018991
49886,Toronto,13448849,-79.32393285,43.63026185
49886,Toronto,13448849,-79.32385166,43.63035174
49886,Toronto,13448849,-79.32375692,43.63043711
49886,Toronto,13448849,-79.32366995,43.63051348
49886,Toronto,13448849,-79.32359962,43.63058989
49886,Toronto,13448849,-79.3235467,43.63067982
49886,Toronto,13448849,-79.32355727,43.63076985
49886,Toronto,13448849,-79.32358769,43.63083291
49886,Toronto,13448849,-79.32362009,43.63088247
49886,Toronto,13448849,-79.32363273,43.63092749
49886,Toronto,13448849,-79.32364217,43.63100852
49886,Toronto,13448849,-79.32364966,43.63109855
49886,Toronto,13448849,-79.32367843,43.63119311
49886,Toronto,13448849,-79.32370019,43.63130116
49886,Toronto,13448849,-79.32364762,43.63140009
49886,Toronto,13448849,-79.32356834,43.63149448
49886,Toronto,13448849,-79.32348521,43.63158437
49886,Toronto,13448849,-79.32342216,43.63168779
49886,Toronto,13448849,-79.32336417,43.63178671
49886,Toronto,13448849,-79.32331081,43.63189015
49886,Toronto,13448849,-79.32327601,43.63200711
49886,Toronto,13448849,-79.32323659,43.63211057
49886,Toronto,13448849,-79.32321108,43.63222755
49886,Toronto,13448849,-79.32317976,43.63234452
49886,Toronto,13448849,-79.32314809,43.63244799
49886,Toronto,13448849,-79.32312299,43.63255597
49886,Toronto,13448849,-79.32310145,43.63263695
49886,Toronto,13448849,-79.32307417,43.63269541
49886,Toronto,13448849,-79.32305584,43.63273589
49886,Toronto,13448849,-79.32302614,43.63283036
49886,Toronto,13448849,-79.32300144,43.63293384
49886,Toronto,13448849,-79.32298141,43.63303282
49886,Toronto,13448849,-79.32298227,43.63313184
49886,Toronto,13448849,-79.32300212,43.63323089
49886,Toronto,13448849,-79.32302122,43.63332093
49886,Toronto,13448849,-79.32304929,43.63338849
49886,Toronto,13448849,-79.32314302,43.63338863
49886,Toronto,13448849,-79.32325726,43.63339331
49886,Toronto,13448849,-79.32340133,43.63339353
49886,Toronto,13448849,-79.32354033,43.63340725
49886,Toronto,13448849,-79.32366725,43.63344345
49886,Toronto,13448849,-79.32380697,43.63347517
49886,Toronto,13448849,-79.32394243,43.63350688
49886,Toronto,13448849,-79.32407402,43.63353409
49886,Toronto,13448849,-79.32415236,43.6334982
49886,Toronto,13448849,-79.32424396,43.63343083
49886,Toronto,13448849,-79.32433984,43.63335447
49886,Toronto,13448849,-79.32441875,43.63325107
49886,Toronto,13448849,-79.32449303,43.63314767
49886,Toronto,13448849,-79.32458585,43.63305779
49886,Toronto,13448849,-79.32467442,43.63296342
